WORD: ABUSE, SUCCESS: True, GUESSES: 2
WORD: ADULT, SUCCESS: True, GUESSES: 1
WORD: AGENT, SUCCESS: True, GUESSES: 1
WORD: ANGER, SUCCESS: True, GUESSES: 2
WORD: APPLE, SUCCESS: True, GUESSES: 1
WORD: AWARD, SUCCESS: True, GUESSES: 1
WORD: BASIS, SUCCESS: True, GUESSES: 2
WORD: BEACH, SUCCESS: True, GUESSES: 1
WORD: BIRTH, SUCCESS: True, GUESSES: 3
WORD: BLOCK, SUCCESS: True, GUESSES: 2
WORD: BLOOD, SUCCESS: True, GUESSES: 2
WORD: BOARD, SUCCESS: True, GUESSES: 2
WORD: BRAIN, SUCCESS: True, GUESSES: 2
WORD: BREAD, SUCCESS: True, GUESSES: 2
WORD: BREAK, SUCCESS: True, GUESSES: 3
WORD: BROWN, SUCCESS: True, GUESSES: 2
WORD: BUYER, SUCCESS: True, GUESSES: 2
WORD: CAUSE, SUCCESS: False, GUESSES: 6
WORD: CHAIN, SUCCESS: True, GUESSES: 1
WORD: CHAIR, SUCCESS: True, GUESSES: 2
WORD: CHEST, SUCCESS: True, GUESSES: 2
WORD: CHIEF, SUCCESS: True, GUESSES: 2
WORD: CHILD, SUCCESS: True, GUESSES: 1
WORD: CHINA, SUCCESS: True, GUESSES: 2
WORD: CLAIM, SUCCESS: True, GUESSES: 2
WORD: CLASS, SUCCESS: True, GUESSES: 2
WORD: CLOCK, SUCCESS: True, GUESSES: 2
WORD: COACH, SUCCESS: True, GUESSES: 2
WORD: COAST, SUCCESS: True, GUESSES: 2
WORD: COURT, SUCCESS: True, GUESSES: 1
WORD: COVER, SUCCESS: True, GUESSES: 3
WORD: CREAM, SUCCESS: True, GUESSES: 3
WORD: CRIME, SUCCESS: True, GUESSES: 2
WORD: CROSS, SUCCESS: True, GUESSES: 2
WORD: CROWD, SUCCESS: True, GUESSES: 2
WORD: CROWN, SUCCESS: True, GUESSES: 2
WORD: CYCLE, SUCCESS: True, GUESSES: 1
WORD: DANCE, SUCCESS: True, GUESSES: 2
WORD: DEATH, SUCCESS: True, GUESSES: 2
WORD: DEPTH, SUCCESS: True, GUESSES: 2
WORD: DOUBT, SUCCESS: True, GUESSES: 4
WORD: DRAFT, SUCCESS: True, GUESSES: 2
WORD: DRAMA, SUCCESS: True, GUESSES: 2
WORD: DREAM, SUCCESS: True, GUESSES: 3
WORD: DRESS, SUCCESS: True, GUESSES: 2
WORD: DRINK, SUCCESS: True, GUESSES: 2
WORD: DRIVE, SUCCESS: True, GUESSES: 2
WORD: EARTH, SUCCESS: True, GUESSES: 2
WORD: ENEMY, SUCCESS: True, GUESSES: 1
WORD: ENTRY, SUCCESS: True, GUESSES: 2
WORD: ERROR, SUCCESS: True, GUESSES: 2
WORD: EVENT, SUCCESS: True, GUESSES: 2
WORD: FAITH, SUCCESS: True, GUESSES: 2
WORD: FAULT, SUCCESS: True, GUESSES: 2
WORD: FIELD, SUCCESS: True, GUESSES: 2
WORD: FIGHT, SUCCESS: True, GUESSES: 2
WORD: FINAL, SUCCESS: True, GUESSES: 2
WORD: FLOOR, SUCCESS: True, GUESSES: 2
WORD: FOCUS, SUCCESS: True, GUESSES: 2
WORD: FORCE, SUCCESS: True, GUESSES: 2
WORD: FRAME, SUCCESS: True, GUESSES: 2
WORD: FRANK, SUCCESS: True, GUESSES: 2
WORD: FRONT, SUCCESS: True, GUESSES: 2
WORD: FRUIT, SUCCESS: True, GUESSES: 3
WORD: GLASS, SUCCESS: True, GUESSES: 1
WORD: GRANT, SUCCESS: True, GUESSES: 2
WORD: GRASS, SUCCESS: True, GUESSES: 2
WORD: GREEN, SUCCESS: True, GUESSES: 2
WORD: GROUP, SUCCESS: True, GUESSES: 1
WORD: GUIDE, SUCCESS: True, GUESSES: 1
WORD: HEART, SUCCESS: True, GUESSES: 4
WORD: HENRY, SUCCESS: True, GUESSES: 4
WORD: HORSE, SUCCESS: True, GUESSES: 2
WORD: HOTEL, SUCCESS: True, GUESSES: 2
WORD: HOUSE, SUCCESS: True, GUESSES: 2
WORD: IMAGE, SUCCESS: True, GUESSES: 2
WORD: INDEX, SUCCESS: True, GUESSES: 2
WORD: INPUT, SUCCESS: True, GUESSES: 2
WORD: ISSUE, SUCCESS: True, GUESSES: 4
WORD: JAPAN, SUCCESS: True, GUESSES: 2
WORD: JONES, SUCCESS: True, GUESSES: 1
WORD: JUDGE, SUCCESS: True, GUESSES: 2
WORD: KNIFE, SUCCESS: True, GUESSES: 2
WORD: LAURA, SUCCESS: True, GUESSES: 2
WORD: LAYER, SUCCESS: True, GUESSES: 3
WORD: LEVEL, SUCCESS: True, GUESSES: 2
WORD: LEWIS, SUCCESS: True, GUESSES: 2
WORD: LIGHT, SUCCESS: True, GUESSES: 2
WORD: LIMIT, SUCCESS: True, GUESSES: 2
WORD: LUNCH, SUCCESS: True, GUESSES: 2
WORD: MAJOR, SUCCESS: True, GUESSES: 2
WORD: MARCH, SUCCESS: True, GUESSES: 2
WORD: MATCH, SUCCESS: True, GUESSES: 2
WORD: METAL, SUCCESS: True, GUESSES: 2
WORD: MODEL, SUCCESS: True, GUESSES: 2
WORD: MONEY, SUCCESS: True, GUESSES: 3
WORD: MONTH, SUCCESS: True, GUESSES: 2
WORD: MOTOR, SUCCESS: True, GUESSES: 2
WORD: MOUTH, SUCCESS: True, GUESSES: 2
WORD: MUSIC, SUCCESS: True, GUESSES: 2
WORD: NIGHT, SUCCESS: True, GUESSES: 2
WORD: NOISE, SUCCESS: True, GUESSES: 2
WORD: NORTH, SUCCESS: True, GUESSES: 2
WORD: NOVEL, SUCCESS: True, GUESSES: 2
WORD: NURSE, SUCCESS: True, GUESSES: 2
WORD: OFFER, SUCCESS: True, GUESSES: 2
WORD: ORDER, SUCCESS: True, GUESSES: 2
WORD: OTHER, SUCCESS: False, GUESSES: 6
WORD: OWNER, SUCCESS: True, GUESSES: 2
WORD: PANEL, SUCCESS: True, GUESSES: 2
WORD: PAPER, SUCCESS: True, GUESSES: 2
WORD: PARTY, SUCCESS: False, GUESSES: 6
WORD: PEACE, SUCCESS: True, GUESSES: 2
WORD: PETER, SUCCESS: True, GUESSES: 2
WORD: PHASE, SUCCESS: True, GUESSES: 3
WORD: PHONE, SUCCESS: True, GUESSES: 3
WORD: PIECE, SUCCESS: True, GUESSES: 2
WORD: PILOT, SUCCESS: True, GUESSES: 2
WORD: PITCH, SUCCESS: True, GUESSES: 3
WORD: PLACE, SUCCESS: True, GUESSES: 2
